,Last.name..First.name,First.name.Last.name,Title.First.name.Last.name,Last.name,First.name,Middle.name,Title,Nickname,Status,Type,Access.disabled,Kind,Group.name,Members,Participation,Number,Complete.address,Street.1,Street.2,Street.3,City,State,Zip,Country,No.postal.mail,No.email,No.text.message,All.phone.numbers,Home,Ok.to.call,Work,Ok.to.call.1,Cell,Ok.to.call.2,Text,Fax,Ok.to.call.3,Pager,Ok.to.call.4,Other,Ok.to.call.5,Email,Web.site,Life.hours,Life.hours.value,Life.No.Call.No.Show,Life.No.Call.No.Show.value,Life.Call.Email.to.miss.shift,Life.Call.Email.to.miss.shift.value,Life.Absence,Life.Absence.value,YTD.hours,YTD.hour.value,No.Call.No.Show,No.Call.No.Show.value,Call.Email.to.miss.shift,Call.Email.to.miss.shift.value,Absence,Absence.value,MTD.hours,MTD.value,MTD.No.Call.No.Show,MTD.No.Call.No.Show.value,MTD.Call.Email.to.miss.shift,MTD.Call.Email.to.miss.shift.value,MTD.Absence,MTD.Absence.value,Jan.11.to.Dec.11.hours,Jan.11.to.Dec.11.hour.value,Jan.11.to.Dec.11.No.Call.No.Show,Jan.11.to.Dec.11.No.Call.No.Show.value,Jan.11.to.Dec.11.Call.Email.to.miss.shift,Jan.11.to.Dec.11.Call.Email.to.miss.shift.value,Jan.11.to.Dec.11.Absence,Jan.11.to.Dec.11.Absence.value,Jan.10.to.Dec.10.hours,Jan.10.to.Dec.10.hour.value,Jan.10.to.Dec.10.No.Call.No.Show,Jan.10.to.Dec.10.No.Call.No.Show.value,Jan.10.to.Dec.10.Call.Email.to.miss.shift,Jan.10.to.Dec.10.Call.Email.to.miss.shift.value,Jan.10.to.Dec.10.Absence,Jan.10.to.Dec.10.Absence.value,Date.entered,Start.date,Stop.date,Date.archived,Date.of.birth,Birthday,Age,Age.range,Gender,Spare.dropdown.3,Spare.dropdown.4,Spare.dropdown.5,Spare.dropdown.6,Orientation.Date,Spare.field.2,Spare.field.3,Spare.field.4,Spare.field.5,Spare.field.6,Spare.checkbox.1,Spare.checkbox.2,Spare.checkbox.3,Spare.checkbox.4,Spare.checkbox.5,Spare.checkbox.6,Volunteer.Distribution.list,General.Volunteer.emails,Schedule.reminders,My.availability.is,From,to,I.would.like.to.serve.up.to,hours
182,"Tsosie, Ned",Ned Tsosie, Ned Tsosie,Tsosie,Ned,,,,Active,NA,NA,Individual,NA,NA,NA,936181,"1110 Ashfield lane Havertown,  19106-4216",1110 Ashfield lane,Unit 1,,Havertown,,19106-4216,NA,NA,NA,NA, (Home)  (Work) (255) 205-5588 (Cell),,,,,(255) 205-5588,Yes,NA,NA,NA,NA,NA,NA,NA,z@tmlrhgbajw.xpw,,250.25,0,0,0,2,0,2,0,33.75,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/5/2013,4/5/2013,,NA,29-Jan,29-Jan,0,NA,,NA,NA,NA,NA,4/1/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
183,"Niko, Jesse",Jesse Niko,Ms. Jesse Niko,Niko,Jesse,,Ms.,,Active,NA,NA,Individual,NA,NA,NA,629724,"232 Av. Apt.A 80 PHILADELPHIA, NJ 19123",232 Av. Apt.A 80,,,PHILADELPHIA,NJ,19123,NA,NA,NA,NA,(616) 161-6166 (Home) (233) 831-3222 (Work)  (Cell),(616) 161-6166,Yes,(233) 831-3222,Yes,,,NA,NA,NA,NA,NA,NA,NA,j@wlbagiymx.hcv,,8,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2017,8/2/2017,,NA,18-Oct,18-Oct,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
184,"el-Farha, Jesus",Jesus el-Farha, Jesus el-Farha,el-Farha,Jesus,,,,Active,NA,NA,Individual,NA,NA,NA,413057,"5333 Wharton Street Garnet Valley, DE 07003",5333 Wharton Street,Suite 1210,,Garnet Valley,DE,7003,NA,NA,NA,NA,(330) 333-3370 (Home) (994) 999-9999 (Work)  (Cell),(330) 333-3370,Yes,(994) 999-9999,,,,NA,NA,NA,NA,NA,NA,NA,rmyf@dvipgbfec.qwo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/22/2017,11/22/2017,,NA,6-Jun,6-Jun,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
185,"Nobles, Jessica",Jessica Nobles,Ms. Jessica Nobles,Nobles,Jessica,,Ms.,,Active,NA,NA,Individual,NA,NA,NA,777296,"330 Aspen Circle North Hills, WI 08052",330 Aspen Circle,,,North Hills,WI,8052,NA,NA,NA,NA,(211) 211-2222 (Home)  (Work)  (Cell),(211) 211-2222,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,txi@fe.ykp,,32,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/19/2017,12/19/2017,,NA,18-Aug,18-Aug,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
186,"el-Zaidi, Alexis",Alexis el-Zaidi,Mr. Alexis el-Zaidi,el-Zaidi,Alexis,,Mr.,,Active,NA,NA,Individual,NA,NA,NA,2317432,"2304 s 11th street Bryn Mawr,  19428",2304 s 11th street,Apt 844,,Bryn Mawr,,19428,NA,NA,NA,NA,(280) 118-1888 (Home)  (Work) (530) 349-3349 (Cell),(280) 118-1888,Yes,,,(530) 349-3349,Yes,NA,NA,NA,NA,NA,NA,NA,ketgsn@bwhulsxin.rnh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/12/2018,6/12/2018,,NA,15-Aug,15-Aug,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,0,NA
187,"Lovato, Paris",Paris Lovato, Paris Lovato,Lovato,Paris,,,,Active,NA,NA,Individual,NA,NA,NA,1346567,"661 South 1Nd Street Philadelphia, Pa,  19446",661 South 1Nd Street,,,"Philadelphia, Pa",,19446,NA,NA,NA,NA,(666) 262-6626 (Home)  (Work)  (Cell),(666) 262-6626,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,kvebp@d.vjz,,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/12/2017,4/12/2017,,NA,6-Jan,6-Jan,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
188,"Runningbear, Ka-Jana",Ka-Jana Runningbear,Dr. Ka-Jana Runningbear,Runningbear,Ka-Jana,,Dr.,,Active,NA,NA,Individual,NA,NA,NA,446343,"908 S 16th Street Rockledge, UT 19131",908 S 16th Street,Apt F16,,Rockledge,UT,19131,NA,NA,NA,NA,(231) 403-4335 (Home)  (Work)  (Cell),(231) 403-4335,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,tejl@rykqmth.ukx,,4.5,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2017,3/1/2017,,NA,,,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
189,"Laychaypha, Cheyenne",Cheyenne Laychaypha,Mrs. Cheyenne Laychaypha,Laychaypha,Cheyenne,,Mrs.,,Active,NA,NA,Individual,NA,NA,NA,130294,"4004 Lombard Street Collingswood, CA 17870",4004 Lombard Street,,,Collingswood,CA,17870,NA,NA,NA,NA,(919) 199-9999 (Home)  (Work) (666) 246-3636 (Cell),(919) 199-9999,Yes,,,(666) 246-3636,,NA,NA,NA,NA,NA,NA,NA,ydcvgaqeo@h.udg,,81.08333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/24/2015,8/24/2015,,NA,1-Mar,1-Mar,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
190,"Vue, Yamilex",Yamilex Vue, Yamilex Vue,Vue,Yamilex,,,,Active,NA,NA,Individual,NA,NA,NA,2477489,"115 Bloomfield Ave ,  ",115 Bloomfield Ave,,,,,,NA,NA,NA,NA,(114) 845-1114 (Home) (622) 622-6066 (Work) (277) 773-3327 (Cell),(114) 845-1114,Yes,(622) 622-6066,Yes,(277) 773-3327,Yes,NA,NA,NA,NA,NA,NA,NA,xln@jn.hya,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/20/2018,7/21/2018,,NA,,,0,NA,,NA,NA,NA,NA,7/15/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,0,NA
191,"Campbell, Roshauna",Roshauna Campbell,Ms. Roshauna Campbell,Campbell,Roshauna,,Ms.,,Active,NA,NA,Individual,NA,NA,NA,988384,"1106 French st Hatboro, WI 11566",1106 French st,Fl 2,,Hatboro,WI,11566,NA,NA,NA,NA,(224) 422-2242 (Home)  (Work)  (Cell),(224) 422-2242,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,wqu@e.taf,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/23/2017,8/23/2017,,NA,1-Sep,1-Sep,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
192,"Schreiber, Austin",Austin Schreiber, Austin Schreiber,Schreiber,Austin,,,,Active,NA,NA,Individual,NA,NA,NA,835897,"6222 CEDAR ST Downingtown, WI 08093",6222 CEDAR ST,,,Downingtown,WI,8093,NA,NA,NA,NA,(111) 611-1460 (Home) (244) 444-4740 (Work)  (Cell),(111) 611-1460,Yes,(244) 444-4740,Yes,,,NA,NA,NA,NA,NA,NA,NA,zcalp@ukcszayl.dzk,,2.25,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/6/2018,3/6/2018,,NA,27-Mar,27-Mar,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
193,"Sandoval, Logan",Logan Sandoval, Logan Sandoval,Sandoval,Logan,,,,Active,NA,NA,Individual,NA,NA,NA,608528,"340 kingfield road Langhorne, DE 19428",340 kingfield road,,,Langhorne,DE,19428,NA,NA,NA,NA,(323) 302-3122 (Home)  (Work)  (Cell),(323) 302-3122,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,glmzruxy@mrfhwyke.izf,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/24/2015,11/24/2015,,NA,3-Sep,3-Sep,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
194,"Patel, Noora",Noora Patel,Ms. Noora Patel,Patel,Noora,,Ms.,,Active,NA,NA,Individual,NA,NA,NA,738407,"2233 Willington St Philadalphia, NJ 18974",2233 Willington St,,,Philadalphia,NJ,18974,NA,NA,NA,NA,(715) 733-0440 (Home)  (Work) (615) 644-0110 (Cell),(715) 733-0440,Yes,,,(615) 644-0110,,NA,NA,NA,NA,NA,NA,NA,xi@ct.qbo,www.randomwebsite.com,3356.166667,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/13/2012,11/20/2012,,NA,17-Mar,17-Mar,0,NA,,NA,NA,NA,NA,1/24/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
195,"Miller, Joshua",Joshua Miller,Ms. Joshua Miller,Miller,Joshua,,Ms.,,Active,NA,NA,Individual,NA,NA,NA,781616,"1401 Allendale Road Philadelphia, Pa, CA 19131",1401 Allendale Road,2,,"Philadelphia, Pa",CA,19131,NA,NA,NA,NA,(788) 817-8878 (Home)  (Work) (646) 446-4644 (Cell),(788) 817-8878,Yes,,,(646) 446-4644,,NA,NA,NA,NA,NA,NA,NA,w@pjmklxqty.cni,,1323.75,0,0,0,0,0,0,0,96.83333333,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/15/2012,10/15/2012,,NA,16-May,16-May,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
196,"Confer, Brendan",Brendan Confer,Ms. Brendan Confer,Confer,Brendan,,Ms.,,Active,NA,NA,Individual,NA,NA,NA,2899053,"1441 N 27Th St. Wynnewood, NY 19473",1441 N 27Th St.,,Merion Station,Wynnewood,NY,19473,NA,NA,NA,NA,(735) 105-7773 (Home)  (Work) (554) 504-5883 (Cell),(735) 105-7773,,,,(554) 504-5883,,NA,NA,NA,NA,NA,NA,NA,zqnudkrewl@jchubmigw.hbi,,2.25,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/3/2018,4/3/2018,,NA,24-Jul,24-Jul,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,0,NA
197,"La, Luisana",Luisana La, Luisana La,La,Luisana,,,,Active,NA,NA,Individual,NA,NA,NA,4433365,"1411 Wayne Drive Salt Lake City,  19102",1411 Wayne Drive,,,Salt Lake City,,19102,NA,NA,NA,NA,(855) 555-8252 (Home)  (Work)  (Cell),(855) 555-8252,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,dezjhuq@rvwcqzen.xrp,,118,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,30.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/19/2018,3/19/2018,,NA,25-Jun,25-Jun,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
198,"Kirby, Jayratna",Jayratna Kirby, Jayratna Kirby,Kirby,Jayratna,,,,Active,NA,NA,Individual,NA,NA,NA,7400026,"106 Faunce Street Clifton Heights,  19123-2504",106 Faunce Street,Floor 8,,Clifton Heights,,19123-2504,NA,NA,NA,NA,(272) 222-2000 (Home)  (Work)  (Cell),(272) 222-2000,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,mkegcbi@je.cxe,,13.75,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/31/2017,11/1/2017,,NA,21-Aug,21-Aug,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
199,"Kolozsy, Alec",Alec Kolozsy,Mr. Alec Kolozsy,Kolozsy,Alec,,Mr.,,Active,NA,NA,Individual,NA,NA,NA,5008467,"2721 Princeton ave Elkins Park, WI ",2721 Princeton ave,,,Elkins Park,WI,,NA,NA,NA,NA,(288) 100-2128 (Home)  (Work) (315) 500-3531 (Cell),(288) 100-2128,Yes,,,(315) 500-3531,Yes,NA,NA,NA,NA,NA,NA,NA,k@ke.fph,,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/24/2018,5/24/2018,,NA,26-Jun,26-Jun,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,0,NA
200,"Nguyen, Aurora",Aurora Nguyen, Aurora Nguyen,Nguyen,Aurora,,,,Active,NA,NA,Individual,NA,NA,NA,704105,"440 Mitchell Street Philadelphia, UT 19130-3134",440 Mitchell Street,,philadelphia,Philadelphia,UT,19130-3134,NA,NA,NA,NA,(333) 133-1313 (Home) (213) 141-1112 (Work)  (Cell),(333) 133-1313,Yes,(213) 141-1112,Yes,,,NA,NA,NA,NA,NA,NA,NA,janlq@xfau.lar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/28/2017,8/28/2017,,NA,17-Apr,17-Apr,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
201,"Kennedy, Abood",Abood Kennedy, Abood Kennedy,Kennedy,Abood,,,,Active,NA,NA,Individual,NA,NA,NA,6745976,"4020 S 88Nd St Conshohocken, DE 19047",4020 S 88Nd St,,PHILADELPHIA,Conshohocken,DE,19047,NA,NA,NA,NA,(222) 262-2162 (Home) (420) 254-2400 (Work) (111) 531-9931 (Cell),(222) 262-2162,,(420) 254-2400,,(111) 531-9931,Yes,NA,NA,NA,NA,NA,NA,NA,yzvidrwsn@q.emr,,3.75,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/12/2018,6/12/2018,,NA,,,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,0,NA
202,"Martinez, Desiree",Desiree Martinez,Ms. Desiree Martinez,Martinez,Desiree,,Ms.,,Active,NA,NA,Individual,NA,NA,NA,6632133,"3333 JFK Blvd Kennett Square, PA 10003",3333 JFK Blvd,,,Kennett Square,PA,10003,NA,NA,NA,NA,(616) 332-1273 (Home)  (Work) (666) 666-6666 (Cell),(616) 332-1273,Yes,,,(666) 666-6666,Yes,NA,NA,NA,NA,NA,NA,NA,wvcrzghun@brvhpldf.ari,,5.75,0,0,0,1,0,1,0,5.75,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/5/2018,5/5/2018,,NA,9-Oct,9-Oct,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,0,NA
203,"Mireles, Vanessa",Vanessa Mireles, Vanessa Mireles,Mireles,Vanessa,,,,Active,NA,NA,Individual,NA,NA,NA,9420612,"4414 Church Street PHILADELPHA, DE 19125-2805",4414 Church Street,,,PHILADELPHA,DE,19125-2805,NA,NA,NA,NA,(111) 166-1156 (Home) (134) 114-3243 (Work) (599) 590-3559 (Cell),(111) 166-1156,,(134) 114-3243,Yes,(599) 590-3559,Yes,NA,NA,NA,NA,NA,NA,NA,jdwzfsv@gisnfq.gwb,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/12/2018,5/14/2018,,NA,3-Jan,3-Jan,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,0,NA
204,"Monroe, Roderick",Roderick Monroe,Ms. Roderick Monroe,Monroe,Roderick,,Ms.,,Active,NA,NA,Individual,NA,NA,NA,904871,"4505 West Montgomery Ave Wynnewood, PA 07003",4505 West Montgomery Ave,,Doylestown,Wynnewood,PA,7003,NA,NA,NA,NA,(604) 665-0444 (Home)  (Work)  (Cell),(604) 665-0444,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,vblt@mn.mrw,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/29/2017,6/29/2017,,NA,7-Jan,7-Jan,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
205,"Vong Vi Chith, Kevin",Kevin Vong Vi Chith,Ms. Kevin Vong Vi Chith,Vong Vi Chith,Kevin,,Ms.,,Active,NA,NA,Individual,NA,NA,NA,713810,"8811 Fisk Ave ,  ",8811 Fisk Ave,,,,,,NA,NA,NA,NA,(655) 255-6206 (Home)  (Work)  (Cell),(655) 255-6206,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,xkaijvtcef@uj.len,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/6/2017,12/6/2017,,NA,26-Sep,26-Sep,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
206,"Chapman, Alejandro",Alejandro Chapman,Ms. Alejandro Chapman,Chapman,Alejandro,,Ms.,,Active,NA,NA,Individual,NA,NA,NA,233748,"3333 Lochwood Rd Madison, UT 18914",3333 Lochwood Rd,,,Madison,UT,18914,NA,NA,NA,NA,(553) 555-2555 (Home)  (Work)  (Cell),(553) 555-2555,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,n@afuwzqde.xzr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/31/2017,12/31/2017,,NA,19-Oct,19-Oct,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
207,"Hamlin, Antoan",Antoan Hamlin, Antoan Hamlin,Hamlin,Antoan,,,,Active,NA,NA,Individual,NA,NA,NA,394391,"2770 Garland St maple shade, PA 53703",2770 Garland St,,PHILADELPHA,maple shade,PA,53703,NA,NA,NA,NA,(170) 770-2770 (Home)  (Work)  (Cell),(170) 770-2770,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,nf@z.oah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/3/2017,7/3/2017,,NA,6-Apr,6-Apr,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
208,"Sponsel, David",David Sponsel, David Sponsel,Sponsel,David,,,,Active,NA,NA,Individual,NA,NA,NA,9651959,"1311 N Palethorp St Ardmore, WI 19073",1311 N Palethorp St,,,Ardmore,WI,19073,NA,NA,NA,NA,(313) 114-4154 (Home)  (Work)  (Cell),(313) 114-4154,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,uglimwj@s.izd,,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/28/2018,3/28/2018,,NA,17-Sep,17-Sep,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
209,"al-Younis, Nhi",Nhi al-Younis,Mrs. Nhi al-Younis,al-Younis,Nhi,,Mrs.,,Active,NA,NA,Individual,NA,NA,NA,2823007,"168 Trilby Avenue Conshohocken, CA 19106",168 Trilby Avenue,,,Conshohocken,CA,19106,NA,NA,NA,NA,(451) 443-0430 (Home) (433) 545-3345 (Work)  (Cell),(451) 443-0430,,(433) 545-3345,,,,NA,NA,NA,NA,NA,NA,NA,qrkfudel@qxhpe.swb,,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/24/2018,1/24/2018,,NA,29-Sep,29-Sep,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
210,"Quint, Ethan",Ethan Quint,Ms. Ethan Quint,Quint,Ethan,,Ms.,,Active,NA,NA,Individual,NA,NA,NA,463695,"244 Henry Avenue Bryn Mawr, NY 19135",244 Henry Avenue,Room 702,,Bryn Mawr,NY,19135,NA,NA,NA,NA,(565) 552-0265 (Home)  (Work)  (Cell),(565) 552-0265,Yes,,,,,NA,NA,NA,NA,NA,NA,NA,abnhixy@rcqgpdtskw.nkr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/12/2017,7/12/2017,,NA,12-Jun,12-Jun,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
211,"Gutierrez, Clifford",Clifford Gutierrez,Ms. Clifford Gutierrez,Gutierrez,Clifford,,Ms.,,Active,NA,NA,Individual,NA,NA,NA,8535270,"7730 Lansing Street Upper Darby, DE 19046",7730 Lansing Street,,,Upper Darby,DE,19046,NA,NA,NA,NA,(156) 515-1156 (Home)  (Work) (216) 262-6226 (Cell),(156) 515-1156,Yes,,,(216) 262-6226,,NA,NA,NA,NA,NA,NA,NA,g@hctb.dji,,119,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/6/2017,2/6/2017,,NA,12-Jan,12-Jan,0,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
212,"Van, Badruddeen",Badruddeen Van,Mrs. Badruddeen Van,Van,Badruddeen,,Mrs.,,Active,NA,NA,Individual,NA,NA,NA,919480,"5057 Benson Street Phila., NJ 19137",5057 Benson Street,,,Phila.,NJ,19137,NA,NA,NA,NA,(162) 665-6661 (Home)  (Work) (412) 313-1144 (Cell),(162) 665-6661,Yes,,,(412) 313-1144,,NA,NA,NA,NA,NA,NA,NA,rcexyda@pszvbwhnt.qal,,82.5,0,0,0,0,0,0,0,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/5/2016,12/5/2016,,NA,25-May,25-May,0,NA,,NA,NA,NA,NA,11/20/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,,Yes,NA,NA,NA,0,NA
