,Animal ID,ARN,Animal Name,Animal Type,Species,Primary Breed,Secondary Breed,Distinguishing Markings,Gender,Altered,Danger,Danger Reason,Date Of Birth,Age in Months Intake,Age Group,Intake Asilomar Status,Intake Condition,Intake Record Owner,Intake Date,Intake Type,Intake Subtype,Found Address,Found Zip Code,Reason,Intake SiteName,Jurisdiction In,Agency Name,Agency Member,Agency Member Phone,Agency Address,Intake Person ID,Intake Person ID Type,Intake Person  ,Admitter,Street Number,Street Name,Street Type,Street Direction,Street Direction2,Unit Number,City,Province,Postal Code,Admitter s Email,Admitter s Home Phone,Admitter s Cell Phone,Initial Stage,Initial Review Date,Age in Months Current,Microchip Issue Date,Microchip Provider,Microchip Number,Pet ID,Pet ID Type,Status,Stage,Location,Sublocation,Outcome Asilomar Status,Outcome Number,Released By,Date Created,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome SiteName,Jurisdiction Out,Outcome Reason,Outcome Person #,Outcome Person ID Type,Outcome Person  ,Outcome Person Name,Out Street Address,Out Street Name,Out Street Type,Out Street Direction,Out Street Direction2,Out Unit Number,Out City,Out Province,Out Postal Code,Out Email,Out Home Phone,Out Cell Phone,Outcome Agency Name,Agency Street Number,Agency Street Name,Agency Street Type,Agency Street Direction,Agency Street Direction 2,Agency Unit Number,Agency City,Agency Province,Agency Postal Code,Agency Email,Agency Home Phone,Agency Cell Number,,
230,A38599496,NA,Piper,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,3/16/2018,2,6 to 12 weeks,Treatable-Rehabilitatable,Healthy,Jada Starks,5/18/2018 14:07,Stray,Public Drop Off,found in workplace in South Philly,19125,,Grant Avenue,19153—Eastwick,,,,,11­113­011,Driver License,P21970213,Raabiya el-Tariq,3303,Home,Alley,E ,,,PHILADELPHIA,PA,19140,siq@gbl.zvc,(410) 322-2531,,New Arrival,,10,6/27/2018 0:00,24PetWatch,426366000000000,NA,NA,I,Released,Released,NA,Treatable-Rehabilitatable,1687,"Tafoya, Amorita",10/21/2018 21:50,10/21/2018 21:49,10/21/2018 21:49,Adoption,Foster Home,PAWS Foster Program,,,20232232,Driver License,P31627353,Riana Littlejohn,2337,Helen,Trail,,,,PHILADELPHIA,PA,19102,kyxcfgp@oprcywa.ldg,(363) 603-2330,,,,,,,NA,NA,,,NA,,NA,NA,,
231,A38642720,NA,Team Rocket Member Jesse FKA Tabnato,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,3/24/2018,1,6 to 12 weeks,,Sick,Fat'hiyaa el-Dib,5/23/2018 14:45,Stray,Project Meow,PM,19143,,Grays Ferry Avenue,19143—Kingsessing SW,,,,,17004015,Driver License,P09511042,Taaha el-Ghazal,4808,Belgreen,Court,,,,PHILADELPHIA,PA,19074,isylfp@yan.zew,,(291) 662-0119,New Arrival,,10,6/21/2018 0:00,24PetWatch,965656000000000,NA,NA,I,Released,Released,NA,,2241,"Tan, Arriane Julia",7/24/2018 13:12,7/24/2018 13:11,7/24/2018 13:11,Adoption,PAC,PAC,,,T53115113,Driver License,P31004277,Victoria Madachy,115,Broadway,Road,,,A311,PHILADELPHIA,PA,11205,ysp@tyicouxfp.skf,(840) 901-8744,,,,,,,NA,NA,,,NA,,NA,NA,,
232,A38671139,NA,Hot Dog,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,2/26/2018,3,Less than 4 weeks,Healthy,Healthy,Anthony Tan,5/26/2018 12:05,Stray,Project Meow,53rd & Springfield Ave,19143,,PAWS Foster Program,19143—Kingsessing SW,,,,,,,P17439062,Amy Siu,8888,Watkins,Drive,,,,PHILADELPHIA,PA,18017,cvazndg@hzncdevsrg.vdc,(153) 111-0511,,Available,,10,6/25/2018 0:00,24PetWatch,922922000000000,NA,NA,I,Released,Released,NA,Healthy,2651,"Palmer, Amber",10/2/2018 19:56,10/2/2018 19:56,10/2/2018 19:56,Adoption,Kawaii Kitty Cafe,PAWS Offsite Adoptions,,,82858222,Driver License,P31499003,Karla Rodriguez,318,Deerfield,Park,,,100,PHILADELPHIA,PA,19123,vyuszhrjx@opyqgcaxf.esk,(909) 995-1990,,,,,,,NA,NA,,,NA,,NA,NA,,
233,A38756182,NA,Ivan,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,3/14/2018,2,6 to 12 weeks,Healthy,Healthy,Brandon Naranjo,6/5/2018 13:55,Stray,Public Drop Off,Germantown- in a patch of ivy,19148,,PAWS Foster Program,19138—Germantown East,,,,,,,P10192685,Ahmed el-Hanif,244,DonAllen,Alley,,,,PHILADELPHIA,PA,19355,vkrmln@ehsovtmxdj.wsb,,(333) 331-5253,New Arrival,,10,6/25/2018 0:00,24PetWatch,712225000000000,NA,NA,I,Released,Released,NA,Healthy,610,"al-Hamed, Raheema",8/15/2018 15:38,8/15/2018 15:38,8/15/2018 15:38,Adoption,Foster Home,PAWS Foster Program,,,K082202502,Driver License,P31164676,Lindsey Cerna,6665,Dorrance,Park,,,,PHILADELPHIA,PA,19335,rh@hojlaqizn.sxl,(105) 151-1353,,,,,,,NA,NA,,,NA,,NA,NA,,
234,A38776354,NA,Chip Ahoy aka Dit,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,3/1/2018,3,6 to 12 weeks,Treatable-Rehabilitatable,Injured,Awn el-Khalili,6/7/2018 11:31,Transfer In,Partner Transfer In,,19140,Rescue,Grays Ferry Avenue,,ACCT Philly,Sandra Marquez,(331) 112-1100,111 W  Hunting Park Avenue  ,,,P05766300,Tracy Nichols,111,Kerper,,W ,,,PHILADELPHIA,PA,19004,,(127) 472-4700,,New Arrival,,10,6/24/2018 0:00,24PetWatch,882528000000000,NA,NA,I,Released,Released,NA,Treatable-Rehabilitatable,3252,"Li, Julie",6/26/2018 15:00,6/26/2018 14:59,6/26/2018 14:59,Adoption,PAC,PAC,,,H000-150-51-525-0,Driver License,P30809865,Anbara al-Mansouri,533,Buttonwood,Court,S ,,,PHILADELPHIA,PA,19428,ulkh@ph.zbc,,(155) 325-5533,,,,,,NA,NA,,,NA,,NA,NA,,
235,A38776429,NA,Team Rocket Member James FKA Blake,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,3/1/2018,3,4 to 6 weeks,,Injured,Sloane Wilson,6/7/2018 11:31,Transfer In,Partner Transfer In,,19140,Rescue,Grays Ferry Avenue,,ACCT Philly,Sameera el-Aman,(449) 332-3300,111 W  Hunting Park Avenue  ,,,P05766300,Suhaad al-Hariri,222,Summer,,W ,,,PHILADELPHIA,PA,19147,,(531) 313-3100,,New Arrival,,10,6/21/2018 0:00,24PetWatch,366666000000000,NA,NA,I,Released,Released,NA,,3253,"Nair, Rebekah",7/24/2018 13:12,7/24/2018 13:11,7/24/2018 13:11,Adoption,PAC,PAC,,,T17771773,Driver License,P31004277,Anthony Powell,331,Warnock,Highway,,,335,PHILADELPHIA,PA,19055,e@axzqorfn.bar,(320) 202-2323,,,,,,,NA,NA,,,NA,,NA,NA,,
236,A38845870,NA,Lil Big fka Pepper,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,3/21/2018,2,12 weeks to 6 months,Treatable-Rehabilitatable,Sick,Marcus Ransom,6/13/2018 14:44,Transfer In,Partner Transfer In,,19140,Rescue,Grays Ferry Avenue,,ACCT Philly,Hannah Dexter,(111) 877-8700,111 W  Hunting Park Avenue  ,,,P05766300,Vivian Maclean,999,Fairfield,,W ,,,PHILADELPHIA,PA,19061,,(543) 385-3800,,New Arrival,,10,6/7/2018 0:00,24PetWatch,733331000000000,NA,NA,I,Released,Released,NA,Treatable-Rehabilitatable,1660,"Chavez, Genevieve",10/7/2018 16:53,10/7/2018 16:52,10/7/2018 16:52,Adoption,Foster Home,PAWS Foster Program,,,51550550,Driver License,P31532241,Khaleela al-Kamel,5501,Aubrey,Crossing,N ,,,PHILADELPHIA,PA,19428,vei@ilpoekfm.pol,(151) 581-5825,,,,,,,NA,NA,,,NA,,NA,NA,,
237,A38890713,NA,Corleone,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,3/16/2018,3,6 to 12 weeks,,Sick,Michelle Ceja,6/18/2018 17:04,Transfer In,Partner Transfer In,,19140,Rescue,Grays Ferry Avenue,,ACCT Philly,Jessica Vu,(252) 122-1200,111 W  Hunting Park Avenue  ,,,P05766300,Nicholas White,666,Elbridge,,W ,,,PHILADELPHIA,PA,19148,,(126) 645-6400,,New Arrival,,10,8/21/2018 0:00,24PetWatch,983937000000000,NA,NA,I,Released,Released,NA,,3228,"Schnicker, Thu",8/25/2018 12:28,8/25/2018 12:27,8/25/2018 12:27,Adoption,PAC,PAC,,,16009555,Driver License,P31239750,Terrell Riddick,302,Country,Pike,,,221,PHILADELPHIA,PA,8344,askwmdfxeb@xqgynkmt.ekb,(431) 184-1448,,,,,,,NA,NA,,,NA,,NA,NA,,
238,A38890725,NA,Imotete,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,3/16/2018,3,6 to 12 weeks,,Sick,She'Quan Brown,6/18/2018 17:04,Transfer In,Partner Transfer In,,19140,Rescue,Grays Ferry Avenue,,ACCT Philly,Shahaada el-Abdul,(323) 775-7700,111 W  Hunting Park Avenue  ,,,P05766300,Adden Wildt,777,Fillmore,,W ,,,PHILADELPHIA,PA,19106,,(465) 443-4400,,New Arrival,,10,8/21/2018 0:00,24PetWatch,151513000000000,NA,NA,I,Released,Released,NA,,3229,"el-Kamel, Lutfiyya",8/25/2018 12:28,8/25/2018 12:27,8/25/2018 12:27,Adoption,PAC,PAC,,,35008155,Driver License,P31239750,Dung Tak,301,Germantown,Terrace,,,#343,PHILADELPHIA,PA,19131,ltbyzn@ujqcwebxtp.kvh,(421) 121-1142,,,,,,,NA,NA,,,NA,,NA,NA,,
239,A39118764,NA,Thumbo,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,3/13/2018,4,12 weeks to 6 months,Healthy,Healthy,Amru al-Mussa,7/13/2018 17:07,Stray,Project Meow,325 S. 49th Street,19139,,PAWS Foster Program,19139—West Market W,,,,,,,P17439062,Jeannetta Murphy,6917,Wilson,Avenue,,,,PHILADELPHIA,PA,19143,dswkojcmi@fugbk.spw,(777) 327-0133,,Available,,10,8/6/2018 0:00,24PetWatch,762124000000000,NA,NA,I,Released,Released,NA,Healthy,346,"Clay, Brittany",8/6/2018 13:30,8/6/2018 13:30,8/6/2018 13:30,Adoption,Foster Home,Grays Ferry Avenue,19146—Schuylkill S,,G11133101111111,Driver License,P31096374,Rylee Schwartz,3234,Daughphin,Street,S ,,B3,PHILADELPHIA,PA,19004,o@wrqjvizhsn.hib,(792) 273-0727,,,,,,,NA,NA,,,NA,,NA,NA,,
240,A39303820,NA,Walter,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,3/19/2018,4,12 weeks to 6 months,Healthy,Healthy,Haaritha al-Saeed,8/3/2018 16:19,Stray,Public Drop Off,south philly,19148,,Grays Ferry Avenue,19148—South Philadelphia W,,,,,,,P10192685,Darias Schmalz,514,Daughphin,Trail,,,,PHILADELPHIA,PA,8033,lsh@iwxap.ahr,,(443) 321-6164,Foster Program,,10,8/3/2018 0:00,24PetWatch,688686000000000,NA,NA,I,Released,Released,NA,Healthy,2629,"Dorrance, Dallen",12/24/2018 15:11,12/24/2018 15:10,12/24/2018 15:10,Adoption,PAC,PAC,19106—Center City-Society Hill,,,,P08969195,Daisy Mallow,3,Fairfax,Street,,,,SICKLERVILLE,NJ,19033,,(414) 880-8461,,,,,,,NA,NA,,,NA,,NA,NA,,
241,A39664691,NA,Semi,Cat,Cat,Domestic Medium Hair,Mix,,F,Yes,No,NA,3/13/2018,6,6 months to 1 year,Healthy,Healthy,Alfred Jumpe,9/13/2018 21:37,Stray,Project Meow,5124 Locust Street,19139,,PAWS Foster Program,19139—West Market W,,,,,,,P17439062,Grant Murray,5666,Foster,Alley,,,,PHILADELPHIA,PA,8109,m@ntwj.mgx,(838) 838-0838,,Available,,10,9/14/2018 0:00,24PetWatch,545455000000000,NA,NA,I,Released,Released,NA,Healthy,832,"Kinder, Keisha",11/1/2018 20:01,11/1/2018 20:01,11/1/2018 20:01,Adoption,Foster Home,PAWS Foster Program,,,44404644,Driver License,P31702874,Octavia Bell,6665,Sheldon,Court,,,,PHILADELPHIA,PA,19428,noycr@hpmid.qhu,(856) 668-5636,,,,,,,NA,NA,,,NA,,NA,NA,,
242,A39749279,NA,French Fry,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,3/24/2018,6,6 months to 1 year,Healthy,Healthy,Daysi Rubio,9/24/2018 13:32,Stray,Project Meow,52nd & Webster Street,19143,,PAWS Foster Program,19143—Kingsessing SW,,,,,,,P17439062,Jammie Legg,4842,Lawnside,Park,,,,PHILADELPHIA,PA,19064,j@iepdlbv.hif,(411) 424-0144,,Available,,10,10/6/2018 0:00,24PetWatch,122121000000000,NA,NA,I,Released,Released,NA,Healthy,799,"Sanchez, Destiny",1/17/2019 18:23,1/17/2019 18:23,1/17/2019 18:23,Adoption,Foster Home,PAWS Foster Program,,,30333333,Driver License,P14516346,Peter Choi,3322,Childs,Place,W ,,101,UPPER DARBY,PA,19056,jotfehy@tadyivs.ujc,(301) 421-3203,,,,,,,NA,NA,,,NA,,NA,NA,,
243,A40584218,NA,Austin Alex,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,3/16/2018,10,6 months to 1 year,Healthy,Healthy,Brenda Perez,1/16/2019 23:37,Stray,Project Meow,412 S. 43rd St,19104,,PAWS Foster Program,19104—University City,,,,,,,P17439062,Keith Maes,7777,45th,Way,,,,PHILADELPHIA,PA,19129,ibmcudjz@xjempwtv.kdi,(233) 242-0422,,Available,,10,1/17/2019 0:00,24PetWatch,654544000000000,NA,NA,I,Released,Released,NA,Healthy,2281,"al-Siddique, Jeelaan",1/23/2019 14:01,1/23/2019 14:00,1/23/2019 14:00,Adoption,PAC,PAC,,,S40014077121,Driver License,P32227987,Awni al-Mansour,1322,Torresdale,Terrace,,,U11,PHILADELPHIA,PA,19131,rls@iepyskzjlu.ivh,(454) 555-4644,,,,,,,NA,NA,,,NA,,NA,NA,,
244,A12476564,NA,Mimi Muffins,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,2/28/2010,97,6 to 10 years,Unassigned,Sick,Radwan Jones,4/18/2018 15:16,Transfer In,Partner Transfer In,,19140,Rescue,Grays Ferry Avenue,,ACCT Philly,Anthony Ryan,(126) 332-3300,111 W  Hunting Park Avenue  ,,,P05766300,Kassandra Romero,333,Fuller,,W ,,,PHILADELPHIA,PA,8096,,(444) 324-3200,,New Arrival,,100,4/18/2018 0:00,24PetWatch,0A71114170,NA,NA,H,Released,Released,NA,Unhealthy/Untreatable,37,,7/17/2018 14:54,7/7/2018 14:53,,Euthanasia,35 Non Treatable Medical,Grays Ferry Avenue,,,,,,,,,,,,,,,NA,,,,,,,,,NA,NA,,,NA,,NA,NA,,
245,A37818936,NA,Sun Dried Dorito,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,2/10/2010,96,6 to 10 years,,Injured,Genacie Williams,2/10/2018 15:09,Transfer In,Partner Transfer In,,19106,Rescue,Grays Ferry Avenue,New Jersey,Cumberland County SPCA,Rifaah el-Abad,(135) 555-5300,1244 N  Delsea Drive  ,,,P28349659,Kevin Hoang,,,,,,,,,NA,v@pgeoxths.cnl,,,New Arrival,,100,,,,NA,NA,H,Released,Released,NA,,3637,,7/28/2018 17:27,6/12/2018 17:27,,Died,General,PAWS Foster Program,19104—University City,,,,,,,,,,,,,,NA,,,,,,,,,NA,NA,,,NA,,NA,NA,,
246,A39524806,NA,Bean fka Bear,Dog,Dog,Shih Tzu,Mix,,M,Yes,No,NA,8/28/2010,96,6 to 10 years,,Healthy,Sammi Young,8/28/2018 17:04,Owner/Guardian Surrender,ACCT Diversion,,19145,Death of Owner / Family,Grays Ferry Avenue,,,,,,57337757,Driver License,P31262584,Brandilyn Frazier,5605,Galdi,Trail,S ,,,PHILADELPHIA,PA,21075,,(111) 111-1111,,Evaluate,,100,9/7/2018 0:00,24PetWatch,828188000000000,NA,NA,I,Released,Released,NA,,2532,"Keyer, Luke",9/8/2018 17:09,9/8/2018 17:08,9/8/2018 17:08,Adoption,PAC,PAC,,,71116677,Driver License,P31337167,Danika Gomen,1114,Winona,Place,,,,PHILADELPHIA,PA,2135,daqujcthil@xbauzghvn.brx,(222) 220-1221,,,,,,,NA,NA,,,NA,,NA,NA,,
247,A39662791,NA,Max,Dog,Dog,Pug,Beagle,,M,Yes,No,NA,9/13/2010,96,6 to 10 years,,Healthy,Elizabeth Velazquez,9/13/2018 17:09,Transfer In,Partner Transfer In,,19140,Rescue,Grays Ferry Avenue,,ACCT Philly,Layaali el-Ismail,(127) 924-9200,111 W  Hunting Park Avenue  ,,,P05766300,Amber Medina-Caro,333,Keswick,,W ,,,PHILADELPHIA,PA,19383,,(121) 113-1100,,New Arrival,,100,9/10/2018 0:00,Home Again,134343000000000,NA,NA,I,Released,Released,NA,,3599,"Rivera, Vanessa",9/15/2018 16:01,9/15/2018 16:00,9/15/2018 16:00,Return to Owner/Guardian,Stray Reclaim,Grays Ferry Avenue,19146—Schuylkill S,,,,P31381670,Nicolas Yu,,,,,,,,,NA,xzfhu@cxtrvzn.sqj,(555) 101-1401,,,,,,,NA,NA,,,NA,,NA,NA,,
248,A39735994,NA,Muffin,Dog,Dog,Shiba Inu,Mix,,F,Yes,No,NA,9/19/2010,96,6 to 10 years,Healthy,Healthy,Malik Condon,9/22/2018 10:06,Transfer In,Partner Transfer In,,19140,Rescue,Grays Ferry Avenue,,ACCT Philly,Shyanna Nikita Gallegos,(136) 132-1300,111 W  Hunting Park Avenue  ,,,P05766300,Phally Nguyen,666,Cedar,,W ,,,PHILADELPHIA,PA,19002,,(255) 555-5500,,Evaluate,,100,9/22/2018 0:00,24PetWatch,121311000000000,NA,NA,I,Released,Released,NA,Healthy,326,"Macneilly, John",11/16/2018 14:20,11/16/2018 14:19,11/16/2018 14:19,Adoption,Grays Ferry Avenue,Grays Ferry Avenue,,,C71110017,Passport,P31430680,Sheldon Dixon,3535,Lynford,Drive,,,,PHILADELPHIA,PA,19341,jnym@rit.wjt,(676) 107-1870,,,,,,,NA,NA,,,NA,,NA,NA,,
249,A39841423,NA,Hazel,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,9/13/2010,96,6 to 10 years,Treatable-Rehabilitatable,Sick,Blanca Meza,10/4/2018 14:40,Transfer In,Partner Transfer In,,19140,Rescue,Grays Ferry Avenue,,ACCT Philly,Todd Flowers,(143) 375-3700,111 W  Hunting Park Avenue  ,,,P05766300,Ray Knight,111,Balwyne Park,,W ,,,PHILADELPHIA,PA,18940,,(424) 185-1800,,New Arrival,,100,9/13/2018 0:00,24PetWatch,0A131E1401,NA,NA,I,Released,Released,NA,Treatable-Rehabilitatable,2459,"Madrid, Reina",12/30/2018 13:27,12/30/2018 13:26,12/30/2018 13:26,Adoption,PAC,PAC,,,S-232-444-024-422,Driver License,P32082282,Mutee'a el-Nour,636,58th,,,,3537,PHILADELPHIA,PA,18914,robaqciwfs@m.war,(340) 444-4463,,,,,,,NA,NA,,,NA,,NA,NA,,
250,A38446615,NA,Frida,Dog,Dog,"Terrier, Jack Russell","Chihuahua, Short Coat",,F,Yes,No,NA,8/1/2010,93,1 to 2 years,,Healthy,Kelsey Strickland,5/1/2018 16:26,Owner/Guardian Surrender,ACCT Diversion,,10457,Death of Owner / Family,Grays Ferry Avenue,,,,,,242222332,Driver License,P30421691,Cody Minor,130,Marvine,Parkway,E ,,,BRONX,NY,19102,,(141) 244-2012,,New Arrival,,101,5/2/2018 0:00,24PetWatch,363333000000000,NA,NA,I,Released,Released,NA,,1366,"Warren, Brittany",5/11/2018 13:07,5/11/2018 13:06,5/11/2018 13:06,Adoption,Grant Avenue,Grant Avenue,,,22233321,Driver License,P30486654,Dayana White,2202,Sheldon,Way,,,,PHILADELPHIA,PA,19383,kjiosygdz@rofgish.ilh,(226) 621-5205,(216) 211-2601,,,,,,NA,NA,,,NA,,NA,NA,,
251,A39284121,NA,Autumn fka Patches,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,8/1/2010,96,6 to 10 years,,Healthy,Alexandra Lim,8/1/2018 16:44,Transfer In,Partner Transfer In,,19140,Rescue,Grays Ferry Avenue,,ACCT Philly,Denae Anderson,(355) 273-2700,111 W  Hunting Park Avenue  ,,,P05766300,Jenny Smith,444,Seville,,W ,,,PHILADELPHIA,PA,19121,,(814) 145-1400,,New Arrival,,101,11/14/2018 0:00,24PetWatch,288183000000000,NA,NA,I,Released,Released,NA,,963,"Hernandez, Karla",1/8/2019 15:31,1/8/2019 15:29,1/8/2019 15:29,Adoption,Foster Home,PAWS Foster Program,,,22222007,Driver License,P32135767,Kaazima al-Habeeb,2226,Rodman,Parkway,,,,PHILADELPHIA,PA,18216,cryajtnglw@doipkbzwmf.xqc,(331) 337-3033,,,,,,,NA,NA,,,NA,,NA,NA,,
252,A11539740,NA,Mariah,Dog,Dog,"Terrier, Pit Bull",Mix,,F,Yes,No,NA,6/29/2010,98,12 weeks to 6 months,Healthy,Healthy,Saul Howes,9/5/2018 11:23,Return,Returned Adoption,,19145,Moving,PAWS Foster Program,,,,,,FLd410444741470,Driver License,P09452531,Sharon Cormier,6616,Stockton,Way,,,,PHILADELPHIA,PA,19115,n@blwiokr.qiu,,(705) 877-2572,New Arrival,,102,9/29/2010 0:00,24PetWatch,0A93961316,NA,NA,I,Released,Released,NA,Healthy,567,"Barrera, Jocelyn",9/5/2018 11:25,9/5/2018 11:24,9/5/2018 11:24,Adoption,Foster Home,PAWS Foster Program,,,,,P31310353,Najeema al-Ayub,,,,,,,,,NA,,(131) 288-8211,,,,,,,NA,NA,,,NA,,NA,NA,,
253,A24787617,NA,Ebony,Dog,Dog,"Poodle, Miniature",Mix,,F,Yes,No,NA,7/18/2010,92,4 to 6 years,Healthy,Healthy,Michael Bishop Jr,3/29/2018 9:50,Return,Returned Adoption,,19143,Change in Lifestyle,Grays Ferry Avenue,,,,,,,,P19780816,Jordan Veloz Gallegos,2135,13,Highway,,,,PHILADELPHIA,PA,19114,,(131) 310-8813,,New Arrival,,102,1/17/2015 0:00,24PetWatch,565000000000000,NA,NA,I,Released,Released,NA,Healthy,2195,"Khat, Kineta",4/3/2018 14:40,4/3/2018 14:39,4/3/2018 14:39,Adoption,Grant Avenue,Grant Avenue,,,,,P18372358,Marleena Ybarra,6766,Franklin Town,,,,,PHILADELPHIA,PA,19111,akgc@vjncxphwdr.nhb,(665) 663-6662,,,,,,,NA,NA,,,NA,,NA,NA,,
254,A38997336,NA,Betty,Dog,Dog,"Poodle, Miniature",Mix,,F,Yes,No,NA,6/28/2010,96,6 to 10 years,Healthy,Healthy,Margaret Juracek,6/29/2018 17:01,Transfer In,Partner Transfer In,,19140,Rescue,Grays Ferry Avenue,,ACCT Philly,Zahraaa al-Ghazi,(225) 553-5500,111 W  Hunting Park Avenue  ,,,P05766300,Courtney Fisher-Jones,555,Parrish,,W ,,,PHILADELPHIA,PA,19151,,(416) 642-6400,,Evaluate,,102,7/5/2018 0:00,24PetWatch,351115000000000,NA,NA,I,Released,Released,NA,Healthy,3172,"Arellano, Kelly",7/8/2018 16:13,7/8/2018 16:12,7/8/2018 16:12,Adoption,PAC,PAC,,,M11512225238531,Driver License,P30893441,Andrew Gibbs,504,Sayers,Way,W ,,,COLLINGSWOOD,NJ,19145,qxjit@nzlruvymf.cgy,(244) 242-6644,,,,,,,NA,NA,,,NA,,NA,NA,,
255,A39016466,NA,Lilly fka Susie Q,Dog,Dog,"Terrier, Yorkshire",Mix,,F,Yes,No,NA,6/28/2010,96,6 to 10 years,Healthy,Healthy,Haala el-Kazemi,7/2/2018 14:56,Transfer In,Partner Transfer In,,19140,Rescue,Grays Ferry Avenue,19124—Frankford NE,ACCT Philly,Preston Patran,(733) 333-3300,111 W  Hunting Park Avenue  ,,,P05766300,Alyssa Beamon,777,34,,W ,,,PHILADELPHIA,PA,19140,,(132) 233-2300,,Evaluate,,102,7/11/2018 0:00,24PetWatch,652226000000000,NA,NA,I,Released,Released,NA,Healthy,1619,"Compton, Patrick",8/23/2018 14:21,8/23/2018 14:20,8/23/2018 14:20,Adoption,Foster Home,PAWS Foster Program,,,71617617,Driver License,P14377337,Tyler Volentine,2223,JFK,,,,,PHILADELPHIA,PA,8053,rmkoev@f.tsr,(222) 770-2272,,,,,,,NA,NA,,,NA,,NA,NA,,
256,A39063243,NA,Princess Fudge fka Ava Maria,Cat,Cat,Domestic Shorthair,Mix,,F,Yes,No,NA,7/7/2010,96,6 to 10 years,Healthy,Healthy,Rathana Jhaveri,7/7/2018 21:03,Stray,Project Meow,215 S. Farragut St,19139,,PAWS Foster Program,19139—West Market W,,,,,,,P17439062,Steven Felker,4991,Canterbury,Crossing,,,,PHILADELPHIA,PA,19128,u@bhe.wga,(215) 212-0412,,Available,,102,8/25/2018 0:00,24PetWatch,262126000000000,NA,NA,I,Released,Released,NA,Healthy,2900,"Quin, Mickel",11/2/2018 14:50,11/2/2018 14:50,11/2/2018 14:50,Adoption,Kawaii Kitty Cafe,PAWS Offsite Adoptions,,,B450045757554,Government ID,P31706865,Ronald Torres,5555,Knorr,Boulevard,,,,PHILADELPHIA,PA,1077,pucsrzbqot@ixtdz.cub,,(773) 741-7443,,,,,,NA,NA,,,NA,,NA,NA,,
257,A40221598,NA,Shamrock,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,7/10/2010,100,6 to 10 years,,Healthy,Ravin Mahon,11/21/2018 15:14,Stray,Public Drop Off,unknown owner surrender,19106,,Grays Ferry Avenue,19106—Center City-Society Hill,,,,,,,P00000001,,,,,,,,,,NA,,,,New Arrival,,102,11/27/2018 0:00,24PetWatch,141717000000000,NA,NA,I,Released,Released,NA,,717,"Emerson, David",1/18/2019 11:04,1/18/2019 11:03,1/18/2019 11:03,Adoption,Foster Home,PAWS Foster Program,,,23400423,Driver License,P32132663,Shaakira el-Rashed,513,49th,Drive,N ,,,PHILADELPHIA,PA,44107,msrnlqo@bfyghpewl.xdg,(155) 115-0323,,,,,,,NA,NA,,,NA,,NA,NA,,
258,A40221605,NA,Swoop,Cat,Cat,Domestic Shorthair,Mix,,M,Yes,No,NA,7/10/2010,100,6 to 10 years,,Healthy,Lakota Lehi,11/21/2018 15:14,Stray,Public Drop Off,unknown owner surrender,19106,,Grays Ferry Avenue,19106—Center City-Society Hill,,,,,,,P00000001,,,,,,,,,,NA,,,,New Arrival,,102,11/27/2018 0:00,24PetWatch,471113000000000,NA,NA,I,Released,Released,NA,,718,"Jefferson, Justin",1/18/2019 11:04,1/18/2019 11:03,1/18/2019 11:03,Adoption,Foster Home,PAWS Foster Program,,,15800835,Driver License,P32132663,Fawzia al-Azzam,323,Northeast,Alley,N ,,,PHILADELPHIA,PA,19063,neslzdqy@dzrgb.ynl,(626) 662-0313,,,,,,,NA,NA,,,NA,,NA,NA,,
